cell_barcode,ncounts,hash_umis,pval_demultiplexing,qval_demultiplexing,top_to_second_best_ratio,top_oligo,perturbation,dose_value,well,celltype,cell_line,cancer,disease,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,dose_value_num,is_control,treatment_group,n_genes
A05_A01_RT_485,1484,75.0,0.0,0.0,71.8028909329829,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1047,6.06469,4.245283,1,,10.0,False,BMS,1047
A05_A01_RT_545,1042,46.0,0.0,0.0,47.8307692307692,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,670,10.460652,6.909789,1,,10.0,False,BMS,670
A05_A01_RT_556,1467,70.0,0.0,0.0,65.8160315374507,BMS_10_AG11,BMS,10,AG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,952,11.588275,5.725971,1,,10.0,False,BMS,952
A05_A01_RT_676,2817,34.0,0.0,0.0,30.9106438896189,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1585,8.448705,5.0408235,1,,10.0,False,BMS,1585
A05_B02_RT_385,2602,26.0,0.0,0.0,22.5946632782719,BMS_10_BG03,BMS,10,BG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1458,6.8793235,5.4957724,1,,10.0,False,BMS,1458
A05_B02_RT_397,1866,4.0,0.0044942593929374,0.058425372108187,1.00993788819876,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1178,7.449089,0.58949625,1,,10.0,False,BMS,1178
A05_B02_RT_736,4848,14.0,1.8687275540830398e-170,6.16680092847404e-169,2.00868486352357,BMS_100_BH05,BMS,100,BH05,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2506,7.4257426,1.0519803,1,,100.0,False,BMS,2506
A06_A01_RT_496,9351,13.0,1.8626646801765602e-24,4.2841287644061e-23,1.97929936305732,BMS_100_BH05,BMS,100,BH05,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3810,19.698427,3.5825045,1,,100.0,False,BMS,3810
A06_A01_RT_758,1233,28.0,0.0,0.0,34.6885245901639,BMS_10_BG03,BMS,10,BG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,855,12.408759,4.136253,1,,10.0,False,BMS,855
A06_B02_RT_393,4129,3.0,2.34754832916325e-96,6.33838048874078e-95,1.00268096514745,BMS_50_AG02,BMS,50,AG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,2254,8.8883505,0.9203197,1,,50.0,False,BMS,2254
A06_B02_RT_528,1041,5.0,1.49575312656173e-32,2.39320500249877e-31,1.0044964028777,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,751,6.147935,0.76849186,1,,10.0,False,BMS,751
A06_B02_RT_543,6468,341.0,0.0,0.0,2.2204228520018,BMS_50_AH06,BMS,50,AH06,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3070,7.8076687,1.1286333,1,,50.0,False,BMS,3070
A07_A01_RT_420,8904,71.0,0.0,0.0,1.01505039193729,BMS_50_BG02,BMS,50,BG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3955,5.345912,1.7969452,1,,50.0,False,BMS,3955
A07_A01_RT_530,6738,835.0,0.0,0.0,77.1126464735795,BMS_50_BG02,BMS,50,BG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3168,6.945681,1.6918967,1,,50.0,False,BMS,3168
A07_A01_RT_742,1552,82.0,2.92152953411862e-46,3.50583544094235e-45,74.0,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1052,7.5386596,4.3170104,1,,10.0,False,BMS,1052
A07_B02_RT_544,2597,68.0,0.0,0.0,61.9354838709677,BMS_10_BG03,BMS,10,BG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1493,6.8540626,5.3523297,1,,10.0,False,BMS,1493
A07_B02_RT_575,1098,7.0,2.59691068385504e-16,5.7132035044810904e-15,1.00673076923077,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,809,3.734062,0.63752276,1,,10.0,False,BMS,809
