names,scores,logfoldchanges,pvals,pvals_adj,perturbation_label,compound,direction
GAPDH,14.614762,3.1005256,2.2614361636835492e-48,6.408457800646442e-44,BMS,BMS-345541,up
FTL,13.961505,2.9624023,2.677214990475655e-44,3.793345920004956e-40,BMS,BMS-345541,up
S100A6,13.637466,3.1493537,2.397462760952915e-42,1.838200453414202e-38,BMS,BMS-345541,up
KRT81,13.6317,3.0975769,2.594679163546054e-42,1.838200453414202e-38,BMS,BMS-345541,up
RPL19,13.487812,3.2226074,1.8449368439384528e-41,1.0456364056705574e-37,BMS,BMS-345541,up
G6PD,13.453795,2.7801077,2.92465146268406e-41,1.2108967325058847e-37,BMS,BMS-345541,up
RPS5,13.452134,3.3139024,2.991134564027523e-41,1.2108967325058847e-37,BMS,BMS-345541,up
TMSB10,13.43317,2.9379423,3.8650153659153413e-41,1.3242390794870581e-37,BMS,BMS-345541,up
POLR2L,13.426915,3.4330285,4.2057137819830344e-41,1.3242390794870581e-37,BMS,BMS-345541,up
RPS11,13.238357,3.1371474,5.268903963599894e-40,1.4931020052049379e-36,BMS,BMS-345541,up
CFL1,13.187919,3.0312395,1.0299017281076063e-39,2.65321410646485e-36,BMS,BMS-345541,up
RPLP1,13.014902,2.4258122,1.0067096994045145e-38,2.3696981199173135e-35,BMS,BMS-345541,up
COX8A,13.004834,3.3642697,1.1484781248999755e-38,2.3696981199173135e-35,BMS,BMS-345541,up
ALDH3A1,13.003368,3.031207,1.1707168353039167e-38,2.3696981199173135e-35,BMS,BMS-345541,up
TUBA1B,12.816081,3.8779323,1.3326866668424876e-37,2.5177116509988277e-34,BMS,BMS-345541,up
S100A4,12.780793,3.1210656,2.0991769678555527e-37,3.717904807193166e-34,BMS,BMS-345541,up
RPL37A,12.769161,2.8432345,2.4376767263953536e-37,4.063463710152443e-34,BMS,BMS-345541,up
ALDOA,12.647464,2.9270422,1.1554537153233319e-36,1.8190692991573653e-33,BMS,BMS-345541,up
PFN1,12.565061,2.8162317,3.2862181879808395e-36,4.9013079479474226e-33,BMS,BMS-345541,up
ENO1,12.442093,2.379902,1.5440511552780387e-35,2.1877660819134528e-32,BMS,BMS-345541,up
RPLP2,12.395564,2.6611762,2.7619570053700567e-35,3.727063696103651e-32,BMS,BMS-345541,up
RPS3,12.321177,2.8722787,6.967003805630528e-35,8.97413426563445e-32,BMS,BMS-345541,up
PKM,12.228804,1.8861789,2.1812656546296296e-34,2.6875089617780195e-31,BMS,BMS-345541,up
RPS29,12.13428,2.6568775,6.951825298599651e-34,7.880033012468676e-31,BMS,BMS-345541,up
BSG,12.093031,2.66008,1.1496635018709165e-33,1.2530447813853089e-30,BMS,BMS-345541,up
RPS16,11.971919,2.5559027,4.986164711618361e-33,5.233256873994116e-30,BMS,BMS-345541,up
RPL30,11.868696,2.6258643,1.7212903042952204e-32,1.7420687372542126e-29,BMS,BMS-345541,up
CAPNS1,11.845041,2.8889072,2.2830663325452997e-32,2.2309494390230587e-29,BMS,BMS-345541,up
MT-ND4,11.811807,1.2742035,3.3919480941349745e-32,3.204034169719897e-29,BMS,BMS-345541,up
RPL38,11.669679,2.7050636,1.8210881518863636e-31,1.6647095499405087e-28,BMS,BMS-345541,up
GSTP1,11.6601,3.22582,2.0380359222207952e-31,1.804808186371653e-28,BMS,BMS-345541,up
VIM,11.621978,2.23497,3.186732705029184e-31,2.7365342847005153e-28,BMS,BMS-345541,up
CLU,11.580337,2.0991218,5.184219259886801e-31,4.320894276078593e-28,BMS,BMS-345541,up
RPL18,11.466067,2.8938768,1.9533541453212154e-30,1.5815471362889314e-27,BMS,BMS-345541,up
AKR1B10,11.405268,1.7469274,3.935642939280238e-30,3.0980069337034274e-27,BMS,BMS-345541,up
CST3,11.18455,3.0325627,4.853596185931305e-29,3.619505492550561e-26,BMS,BMS-345541,up
MT-CO3,11.032062,1.3588291,2.676576470595088e-28,1.9448416416339387e-25,BMS,BMS-345541,up
GPX2,11.019648,2.4121647,3.072596935563996e-28,2.176781299000313e-25,BMS,BMS-345541,up
RPS6,11.010263,2.5342016,3.41004311816893e-28,2.3569219971383203e-25,BMS,BMS-345541,up
KRT7,10.956404,2.121173,6.19108453616192e-28,4.177213180613249e-25,BMS,BMS-345541,up
CD151,10.870873,2.7080045,1.5867445537157665e-27,1.045701561934823e-24,BMS,BMS-345541,up
MT-ND2,10.857775,1.4996701,1.831573683303707e-27,1.1796167053968284e-24,BMS,BMS-345541,up
MT-CYB,10.798441,1.2224013,3.500960026430961e-27,2.204671227311124e-24,BMS,BMS-345541,up
CTSD,10.737055,2.4437914,6.818486619036339e-27,4.200484213266343e-24,BMS,BMS-345541,up
FAU,10.68818,2.967241,1.1561701313347197e-26,6.970967911013466e-24,BMS,BMS-345541,up
RPS21,10.642727,2.2607105,1.8852930320598765e-26,1.1130298738023496e-23,BMS,BMS-345541,up
S100A11,10.600695,2.874775,2.957742193714962e-26,1.710540781336624e-23,BMS,BMS-345541,up
TUBB,10.574498,2.9473317,3.9126657669561403e-26,2.217542450080062e-23,BMS,BMS-345541,up
RPL8,10.550745,2.6997614,5.039583223253958e-26,2.800229595697464e-23,BMS,BMS-345541,up
FLNA,10.5225935,2.4327312,6.797634426616084e-26,3.704449315027819e-23,BMS,BMS-345541,up
RPL28,10.424942,2.5707629,1.907756535440492e-25,1.0200378245530691e-22,BMS,BMS-345541,up
RPL32,10.399723,2.874989,2.4865561573582016e-25,1.3048894145780875e-22,BMS,BMS-345541,up
RPL7A,10.378413,3.4988122,3.1089880062144113e-25,1.6018636749109816e-22,BMS,BMS-345541,up
RPS19,10.351044,2.3339233,4.139483168209431e-25,2.0947263217985507e-22,BMS,BMS-345541,up
MT-ATP8,10.313606,1.3913697,6.11625530987646e-25,3.0407446135312123e-22,BMS,BMS-345541,up
AKR1C3,10.273529,1.546701,9.274881841669808e-25,4.531579338435155e-22,BMS,BMS-345541,up
RPL39,10.182622,2.718677,2.3708551169524267e-24,1.1387337678677606e-21,BMS,BMS-345541,up
COX6A1,10.074218,2.670534,7.182972872732155e-24,3.392518087791397e-21,BMS,BMS-345541,up
HMGA1,9.887908,4.0185266,4.697393131314707e-23,2.182208632052396e-20,BMS,BMS-345541,up
P4HB,9.861516,2.0327694,6.11193960086121e-23,2.7935507162774995e-20,BMS,BMS-345541,up
TXN,9.686838,1.8531961,3.4298112788402925e-22,1.5427617780916858e-19,BMS,BMS-345541,up
MT-RNR1,9.643047,0.81047684,5.260296123097246e-22,2.3291604927551526e-19,BMS,BMS-345541,up
PTMS,9.631805,2.604817,5.868890432793933e-22,2.558655647454069e-19,BMS,BMS-345541,up
COX6B1,9.624964,2.4853475,6.272928424043595e-22,2.6933673587961725e-19,BMS,BMS-345541,up
CYC1,9.61685,2.6272726,6.787789820793041e-22,2.8709311633079583e-19,BMS,BMS-345541,up
LGALS1,9.609128,3.5227566,7.316597532246486e-22,3.04908442454119e-19,BMS,BMS-345541,up
SNRPB,9.581954,2.9187233,9.522625411959214e-22,3.910900853972467e-19,BMS,BMS-345541,up
TPI1,9.580096,2.468556,9.695429801877003e-22,3.924986996079864e-19,BMS,BMS-345541,up
CYBA,9.501506,2.8221335,2.068759861238661e-21,8.256974217997348e-19,BMS,BMS-345541,up
MT-CO2,9.465632,1.3831153,2.9179026963912732e-21,1.1484378695879986e-18,BMS,BMS-345541,up
KRT18,9.462211,1.8886429,3.0149917531442065e-21,1.1703950178164456e-18,BMS,BMS-345541,up
NQO1,9.456835,1.615086,3.1740541450740883e-21,1.2154911670690476e-18,BMS,BMS-345541,up
IGFBP4,9.414314,1.6464586,4.761815000306381e-21,1.7992041797157627e-18,BMS,BMS-345541,up
PRDX1,9.409524,2.2436707,4.9838726679522494e-21,1.8583287324267214e-18,BMS,BMS-345541,up
S100A10,9.190273,1.6193347,3.918453283177479e-20,1.4236042197267105e-17,BMS,BMS-345541,up
CD81,9.149023,2.1439238,5.74507817756195e-20,2.0608104480474755e-17,BMS,BMS-345541,up
ACTN4,9.128691,1.3647834,6.933241720842619e-20,2.4559275485654765e-17,BMS,BMS-345541,up
PSAP,9.072192,1.8245727,1.1664615823099394e-19,4.080887446851736e-17,BMS,BMS-345541,up
PSMC4,9.019407,2.4678316,1.8910906025397308e-19,6.535332377411084e-17,BMS,BMS-345541,up
RPS14,8.920681,2.797374,4.634294690553619e-19,1.582248710131427e-16,BMS,BMS-345541,up
RACK1,8.907582,2.2042975,5.215730985936824e-19,1.7595641033271159e-16,BMS,BMS-345541,up
SLC3A2,8.868385,2.0405183,7.421417030263565e-19,2.4742131271012814e-16,BMS,BMS-345541,up
RPL15,8.769268,2.3378506,1.798320470351608e-18,5.925675056839985e-16,BMS,BMS-345541,up
CALM2,8.730266,1.7527821,2.540748211989222e-18,8.275830210500066e-16,BMS,BMS-345541,up
LMNA,8.724303,2.0349622,2.6782486923072634e-18,8.624569482114004e-16,BMS,BMS-345541,up
MYL6,8.649036,2.1942499,5.193614792041794e-18,1.6536702918750603e-15,BMS,BMS-345541,up
KRT8,8.641998,2.0028849,5.523822722243977e-18,1.7392676478105534e-15,BMS,BMS-345541,up
HSPB1,8.620103,2.3282933,6.689417613062269e-18,2.0817005805961605e-15,BMS,BMS-345541,up
AKR1B1,8.61893,2.0915916,6.758291107870943e-18,2.0817005805961605e-15,BMS,BMS-345541,up
PPIB,8.617659,2.0520794,6.833694026079599e-18,2.082292702269287e-15,BMS,BMS-345541,up
SQSTM1,8.610523,1.3748037,7.272791801258064e-18,2.1925146177026704e-15,BMS,BMS-345541,up
RPL27,8.602117,1.9730968,7.82591467770115e-18,2.3344291593336335e-15,BMS,BMS-345541,up
TRIM28,8.587943,2.3360019,8.854010035091688e-18,2.586648828602353e-15,BMS,BMS-345541,up
RPS24,8.550407,1.9861053,1.2265476099162382e-17,3.546725119367996e-15,BMS,BMS-345541,up
RPL27A,8.50515,2.1944635,1.8136157287737075e-17,5.19133762848377e-15,BMS,BMS-345541,up
TAGLN2,8.500751,2.9384174,1.8836820678300694e-17,5.337978243816851e-15,BMS,BMS-345541,up
UBB,8.488532,2.3288307,2.0926315676832854e-17,5.871385481684053e-15,BMS,BMS-345541,up
UBA52,8.445131,3.6370773,3.037029880169705e-17,8.355665314975642e-15,BMS,BMS-345541,up
PHB2,8.417566,2.7309306,3.843854036265544e-17,1.0473763046124324e-14,BMS,BMS-345541,up
RPL35,8.406618,2.8421922,4.2200091108276734e-17,1.1389201731679486e-14,BMS,BMS-345541,up
CAVIN1,8.382377,2.1190166,5.186950583338559e-17,1.3866774116098876e-14,BMS,BMS-345541,up
CALR,8.352075,1.6361163,6.707432793962695e-17,1.7628719927390472e-14,BMS,BMS-345541,up
MT-RNR2,8.351879,0.37257555,6.718546658755631e-17,1.7628719927390472e-14,BMS,BMS-345541,up
LDHA,8.282673,1.7626098,1.2044116910226796e-16,3.102783500018245e-14,BMS,BMS-345541,up
RPS17,8.280327,2.2888415,1.2283785016382396e-16,3.136017115263462e-14,BMS,BMS-345541,up
RPL31,8.248754,1.915979,1.6005492514865665e-16,4.04967541862735e-14,BMS,BMS-345541,up
NDUFA4,8.189909,2.416099,2.614243253793728e-16,6.555966843009438e-14,BMS,BMS-345541,up
RPLP0,8.172216,2.025545,3.0277543286267244e-16,7.526359839002116e-14,BMS,BMS-345541,up
CD63,8.170261,2.5248322,3.077225544832976e-16,7.582818912128424e-14,BMS,BMS-345541,up
AGR2,8.112492,1.7105432,4.959226266875986e-16,1.2011500337669375e-13,BMS,BMS-345541,up
SLC25A5,8.07173,2.3594584,6.930896909219965e-16,1.66447251367352e-13,BMS,BMS-345541,up
RPS23,8.030187,2.2537246,9.732444220810821e-16,2.2983167027444757e-13,BMS,BMS-345541,up
TMBIM6,8.025593,1.5350558,1.0103709402778257e-15,2.366272041784547e-13,BMS,BMS-345541,up
ATP5G3,7.870465,2.1985168,3.533264489935158e-15,8.207020419326435e-13,BMS,BMS-345541,up
ATP5B,7.7789717,2.1406195,7.311652735714947e-15,1.6709485098765335e-12,BMS,BMS-345541,up
PSMD8,7.774182,2.6267748,7.593661667909281e-15,1.7215134747617057e-12,BMS,BMS-345541,up
COX7C,7.7587376,2.5086474,8.577902676053067e-15,1.9140205199526916e-12,BMS,BMS-345541,up
DAD1,7.7205176,2.3722904,1.1585830693546011e-14,2.5451106216566424e-12,BMS,BMS-345541,up
ACTG1,7.703607,1.3570658,1.3227830278143473e-14,2.8834634955540746e-12,BMS,BMS-345541,up
CCT7,7.6306863,2.046997,2.3350759195021605e-14,5.051250489072688e-12,BMS,BMS-345541,up
PLEC,7.5761423,1.7279359,3.5598186300259336e-14,7.642283358914765e-12,BMS,BMS-345541,up
EPHX1,7.5639234,1.7425244,3.910898740199312e-14,8.332860789456248e-12,BMS,BMS-345541,up
RPS8,7.515342,1.8023201,5.676227797130384e-14,1.1915032838154135e-11,BMS,BMS-345541,up
ANAPC11,7.4325485,2.547665,1.0652488048384722e-13,2.2196338699641638e-11,BMS,BMS-345541,up
MGST3,7.4201345,1.7112248,1.170014202825567e-13,2.420135947421235e-11,BMS,BMS-345541,up
EEF2,7.415638,1.7875198,1.2104062074455231e-13,2.4855428338109593e-11,BMS,BMS-345541,up
HSP90AA1,7.382501,1.2426834,1.553432075114809e-13,3.166989794575789e-11,BMS,BMS-345541,up
EIF5A,7.3157387,2.7706864,2.559697134973742e-13,5.181192672206135e-11,BMS,BMS-345541,up
COX5B,7.30655,2.1368783,2.7408837462659926e-13,5.50859316324012e-11,BMS,BMS-345541,up
PHPT1,7.2818193,3.2861986,3.293474112649405e-13,6.481282597517974e-11,BMS,BMS-345541,up
YWHAE,7.265202,1.2806789,3.7248064496248826e-13,7.279556218584133e-11,BMS,BMS-345541,up
HSPD1,7.222095,1.6432973,5.119274243925209e-13,9.925633449007604e-11,BMS,BMS-345541,up
CTNNA3,7.221313,1.9510318,5.148804139332761e-13,9.925633449007604e-11,BMS,BMS-345541,up
TIMP1,7.160415,3.0212433,8.043309081556012e-13,1.5373948374421067e-10,BMS,BMS-345541,up
RPL5,7.159731,1.9164922,8.083556735792006e-13,1.5373948374421067e-10,BMS,BMS-345541,up
RPL4,7.127376,2.1730378,1.0230038158795425e-12,1.9326588089596316e-10,BMS,BMS-345541,up
EIF1,7.102743,1.8397143,1.2230454302656721e-12,2.2952755895939482e-10,BMS,BMS-345541,up
CLPTM1,7.069411,1.7515076,1.5559296097062441e-12,2.9007850842010227e-10,BMS,BMS-345541,up
CA12,7.032657,1.1636361,2.026369560468737e-12,3.753154287879939e-10,BMS,BMS-345541,up
SPINT2,7.0134983,1.7084131,2.324318491485413e-12,4.24945402656217e-10,BMS,BMS-345541,up
MT-ATP6,7.0094905,1.0121161,2.391874425142181e-12,4.34493188844097e-10,BMS,BMS-345541,up
C1QBP,7.004994,2.1806974,2.4699625472095785e-12,4.4582037364856713e-10,BMS,BMS-345541,up
GPI,6.9923844,1.4008775,2.7025306274238716e-12,4.847108412654283e-10,BMS,BMS-345541,up
PRDX4,6.9869103,2.3393295,2.810053542556216e-12,5.008257691129437e-10,BMS,BMS-345541,up
TK1,6.981339,3.557096,2.9238023943866133e-12,5.178419515757991e-10,BMS,BMS-345541,up
SSR4,6.965894,3.0070703,3.2632373856100856e-12,5.70824821193942e-10,BMS,BMS-345541,up
RPS9,6.9597363,2.0805547,3.409103539351946e-12,5.926820619518739e-10,BMS,BMS-345541,up
PSMB3,6.9493747,2.7350862,3.669084397263239e-12,6.339909368880833e-10,BMS,BMS-345541,up
ATP5G1,6.928554,2.3921885,4.251630005238238e-12,7.301981278087345e-10,BMS,BMS-345541,up
RPS12,6.9179974,1.9447237,4.580727317044417e-12,7.819798235566548e-10,BMS,BMS-345541,up
TUFM,6.906952,2.2381363,4.95178288998887e-12,8.402612187814647e-10,BMS,BMS-345541,up
TRMT112,6.8981543,2.5871751,5.2682500368537715e-12,8.870362122493464e-10,BMS,BMS-345541,up
DDT,6.8975677,2.7174425,5.290038812553446e-12,8.870362122493464e-10,BMS,BMS-345541,up
COX4I1,6.8852515,1.9406044,5.768555409966103e-12,9.615842541624672e-10,BMS,BMS-345541,up
BTF3,6.8793864,1.8617852,6.011087094570875e-12,9.961531350055524e-10,BMS,BMS-345541,up
PFKP,6.858175,1.7574937,6.9745819919260176e-12,1.1455910677893203e-09,BMS,BMS-345541,up
SDC1,6.857784,2.1863651,6.99369238222713e-12,1.1455910677893203e-09,BMS,BMS-345541,up
VDAC1,6.8115487,2.1809223,9.655365703959856e-12,1.5724928351656e-09,BMS,BMS-345541,up
RPS2,6.8056836,2.1832423,1.0057047896785546e-11,1.6285521331377646e-09,BMS,BMS-345541,up
NUCB1,6.790826,2.132456,1.1149348265433232e-11,1.7951717678741305e-09,BMS,BMS-345541,up
HADHA,6.7698097,1.782188,1.2895185419617213e-11,2.06454104192719e-09,BMS,BMS-345541,up
SLC1A5,6.745079,2.098823,1.5294354869858343e-11,2.4212928955421546e-09,BMS,BMS-345541,up
CCT3,6.7056866,1.842225,2.0046190894956844e-11,3.1212580086883902e-09,BMS,BMS-345541,up
NDUFS8,6.696791,2.8764074,2.1304573320474688e-11,3.299065566970556e-09,BMS,BMS-345541,up
ATP5J2,6.6862345,2.757032,2.2898637024009303e-11,3.5266389999259547e-09,BMS,BMS-345541,up
UQCRQ,6.6745043,2.9222424,2.4806908766824563e-11,3.779452584055239e-09,BMS,BMS-345541,up
TPM2,6.6541724,2.6476154,2.8489826819423736e-11,4.271665145020264e-09,BMS,BMS-345541,up
PARK7,6.5758758,2.0938437,4.836770665123304e-11,7.138771203555426e-09,BMS,BMS-345541,up
PCNA,6.5693264,1.9308916,5.054340523068819e-11,7.421238432265502e-09,BMS,BMS-345541,up
EDF1,6.5645366,2.2064147,5.2194914001546695e-11,7.585125502440155e-09,BMS,BMS-345541,up
ZFAS1,6.539708,1.920944,6.163891443380864e-11,8.82183614760237e-09,BMS,BMS-345541,up
CTSL,6.516835,1.6336278,7.180630580641784e-11,1.0174235469711344e-08,BMS,BMS-345541,up
TKT,6.5103836,1.3550662,7.495912328077795e-11,1.0568117589704904e-08,BMS,BMS-345541,up
MTCO1P40,6.501684,1.6897391,7.942583326459094e-11,1.1142422094316724e-08,BMS,BMS-345541,up
RHOA,6.499338,1.4210553,8.067423627538704e-11,1.1261805456019301e-08,BMS,BMS-345541,up
RPL23,6.472457,1.7374887,9.642198498896423e-11,1.339414809126112e-08,BMS,BMS-345541,up
PGK1,6.46278,1.286121,1.0279682242103286e-10,1.4210030993986484e-08,BMS,BMS-345541,up
APRT,6.4468465,2.327393,1.1420119051719952e-10,1.5709870567361165e-08,BMS,BMS-345541,up
UBC,6.419379,1.7001003,1.3683117860316387e-10,1.8731990044717187e-08,BMS,BMS-345541,up
RPS13,6.415958,2.713372,1.39940037651937e-10,1.90654845527913e-08,BMS,BMS-345541,up
FKBP1A,6.415078,2.8899808,1.4075055118829688e-10,1.9084158466861037e-08,BMS,BMS-345541,up
EMC7,6.414003,2.0965571,1.417474108609321e-10,1.912780061417664e-08,BMS,BMS-345541,up
TGFBI,6.3930845,1.560637,1.6257214869080338e-10,2.1833978908056806e-08,BMS,BMS-345541,up
RNASEK,6.3791065,2.7352185,1.781240513117874e-10,2.3698025192833012e-08,BMS,BMS-345541,up
GPAA1,6.3682566,3.069376,1.911890901262216e-10,2.531736652334985e-08,BMS,BMS-345541,up
SEC11A,6.365324,1.5266062,1.9487798212849774e-10,2.5685824453755205e-08,BMS,BMS-345541,up
RPL37,6.363271,1.792687,1.9750148588736417e-10,2.5911097717945028e-08,BMS,BMS-345541,up
CCT5,6.345383,1.895021,2.2187257121705475e-10,2.8974308401607822e-08,BMS,BMS-345541,up
PPDPF,6.3246603,3.259124,2.5379023099348776e-10,3.2990401678410345e-08,BMS,BMS-345541,up
COX6C,6.304817,1.811413,2.885341283705482e-10,3.733552570668765e-08,BMS,BMS-345541,up
SSR2,6.3031554,2.1108193,2.916459828805958e-10,3.756665392213784e-08,BMS,BMS-345541,up
NME1,6.273049,2.3475685,3.54045885663877e-10,4.539797424408573e-08,BMS,BMS-345541,up
ARHGDIA,6.2668905,2.2700818,3.683287210073497e-10,4.7016663495073306e-08,BMS,BMS-345541,up
CORO1B,6.243235,3.0872612,4.286113137917296e-10,5.446631125663692e-08,BMS,BMS-345541,up
NPM1,6.2384458,1.4416866,4.419402183401439e-10,5.5909383514834805e-08,BMS,BMS-345541,up
SNRPD2,6.213324,2.3151255,5.187529923574418e-10,6.53352102107786e-08,BMS,BMS-345541,up
DDOST,6.2068725,2.3561833,5.404936086456947e-10,6.777215876903406e-08,BMS,BMS-345541,up
EMP3,6.184586,3.5487015,6.226571767406479e-10,7.77306567157554e-08,BMS,BMS-345541,up
HSP90AB1,6.159171,1.4599509,7.312669021653827e-10,9.088877839281848e-08,BMS,BMS-345541,up
B2M,6.1343427,1.8938887,8.551194277971643e-10,1.0535814932572192e-07,BMS,BMS-345541,up
AKR1C1,6.128478,0.8060977,8.872376600425574e-10,1.0884216800989606e-07,BMS,BMS-345541,up
SLC25A3,6.113229,1.5771201,9.76351004933661e-10,1.1874607200776861e-07,BMS,BMS-345541,up
EHD2,6.089183,2.2096434,1.134885279730702e-09,1.3743751733764373e-07,BMS,BMS-345541,up
KDELR1,6.0854683,1.5894035,1.161513305856347e-09,1.40063676856839e-07,BMS,BMS-345541,up
ITM2B,6.0750093,1.5434514,1.2398068206845269e-09,1.4887138001931408e-07,BMS,BMS-345541,up
PA2G4,6.073543,1.9156142,1.2511857375652945e-09,1.496038035068579e-07,BMS,BMS-345541,up
POLR2A,6.052136,1.3281361,1.42937872546502e-09,1.701921610177636e-07,BMS,BMS-345541,up
MYADM,6.050865,1.6738845,1.4407007074665578e-09,1.708224964359302e-07,BMS,BMS-345541,up
FXYD5,6.042263,2.890322,1.5196732996340195e-09,1.7943542485428688e-07,BMS,BMS-345541,up
LRRC75A-AS1,6.0378647,1.4287162,1.5616715917080557e-09,1.8362925131046838e-07,BMS,BMS-345541,up
LGALS3BP,6.016262,2.7519078,1.784907136837987e-09,2.090111505938631e-07,BMS,BMS-345541,up
ATRAID,5.9937797,2.2032197,2.0501918668520395e-09,2.3908780708993043e-07,BMS,BMS-345541,up
RPL13A,5.990163,1.7844641,2.0963097351862463e-09,2.4346403801519606e-07,BMS,BMS-345541,up
TPT1,5.9814634,1.4083388,2.2114200006591076e-09,2.55784571341542e-07,BMS,BMS-345541,up
COX7A2,5.960643,1.8675623,2.512478515946753e-09,2.8942526904430523e-07,BMS,BMS-345541,up
UQCR11,5.9497924,2.4821923,2.684826271184245e-09,3.0802674847295196e-07,BMS,BMS-345541,up
FTH1,5.948033,1.522387,2.7138385136145493e-09,3.100998217693915e-07,BMS,BMS-345541,up
HNRNPA1,5.93992,1.5863568,2.8516146371677334e-09,3.2323622235223694e-07,BMS,BMS-345541,up
NOP10,5.919588,2.71183,3.2274904331379788e-09,3.6315474683623204e-07,BMS,BMS-345541,up
UBA1,5.9194903,2.2195938,3.2294091397674665e-09,3.6315474683623204e-07,BMS,BMS-345541,up
RPS4X,5.9006248,1.497447,3.6212777945452843e-09,4.0561173969100503e-07,BMS,BMS-345541,up
APLP2,5.8998427,1.2971976,3.6384825654685083e-09,4.059343265364039e-07,BMS,BMS-345541,up
OST4,5.88997,2.7458563,3.8626560371563476e-09,4.2925469325857485e-07,BMS,BMS-345541,up
NOP56,5.88303,1.8218058,4.028231946155838e-09,4.459063941022037e-07,BMS,BMS-345541,up
RPL41,5.8780446,3.3664455,4.15140919659521e-09,4.577534389615372e-07,BMS,BMS-345541,up
PSMB4,5.8594723,2.3054037,4.643402319067526e-09,5.100183523943239e-07,BMS,BMS-345541,up
CHCHD2,5.8382607,2.2971852,5.274855048359539e-09,5.730519018615872e-07,BMS,BMS-345541,up
SOD1,5.838163,2.2070715,5.277949974799713e-09,5.730519018615872e-07,BMS,BMS-345541,up
OAZ1,5.8322005,2.1343968,5.470118637301328e-09,5.916497020757443e-07,BMS,BMS-345541,up
PABPC1,5.8189063,1.0000862,5.923387050252956e-09,6.358217508714706e-07,BMS,BMS-345541,up
HSD17B10,5.8107934,2.565474,6.217750241393586e-09,6.649004012853262e-07,BMS,BMS-345541,up
PHB,5.7917323,2.1857212,6.9664158130219275e-09,7.421589898850202e-07,BMS,BMS-345541,up
LAPTM4A,5.7882133,1.6049316,7.1139067764528895e-09,7.550332967457752e-07,BMS,BMS-345541,up
PLD3,5.779611,1.3603287,7.487340111482214e-09,7.917024032805334e-07,BMS,BMS-345541,up
CALM1,5.7742352,1.152967,7.730343283651628e-09,8.14358616996728e-07,BMS,BMS-345541,up
EMC10,5.7733555,2.266995,7.770830776337853e-09,8.155918612587484e-07,BMS,BMS-345541,up
TSPAN4,5.756738,2.5910406,8.575483528538384e-09,8.967234399694491e-07,BMS,BMS-345541,up
HNRNPAB,5.7419777,2.1117282,9.357703129551512e-09,9.749212914898188e-07,BMS,BMS-345541,up
LASP1,5.741196,1.7650181,9.401024907100805e-09,9.75847046950266e-07,BMS,BMS-345541,up
CDC37,5.7257514,2.4956002,1.0297682864968463e-08,1.065020938056483e-06,BMS,BMS-345541,up
RPL35A,5.6779523,2.1181636,1.3631675488447667e-08,1.4047069817877454e-06,BMS,BMS-345541,up
ITGA3,5.676486,1.2164384,1.374897935589234e-08,1.411661510823468e-06,BMS,BMS-345541,up
PSENEN,5.6742377,2.8337479,1.3930752183934628e-08,1.4251612107882294e-06,BMS,BMS-345541,up
RPL11,5.660064,1.8664087,1.513164115188918e-08,1.5369191647391958e-06,BMS,BMS-345541,up
AHSA1,5.6587934,2.713533,1.5244091026799676e-08,1.5428108982766041e-06,BMS,BMS-345541,up
PERP,5.653417,1.4046997,1.5728887929471436e-08,1.5862107692005748e-06,BMS,BMS-345541,up
INF2,5.6361156,2.073887,1.739286175302856e-08,1.7435988061569516e-06,BMS,BMS-345541,up
PDIA6,5.63592,1.0978409,1.7412607175609335e-08,1.7435988061569516e-06,BMS,BMS-345541,up
CNIH1,5.6336718,1.8629452,1.7641249952397638e-08,1.754097337372085e-06,BMS,BMS-345541,up
PDIA4,5.6233106,1.301431,1.8733224644069935e-08,1.856161258614174e-06,BMS,BMS-345541,up
UCHL1,5.620476,1.5603497,1.9043229545665286e-08,1.8737744405036905e-06,BMS,BMS-345541,up
MDH2,5.5952563,1.666363,2.2029582721754976e-08,2.1601187376093165e-06,BMS,BMS-345541,up
ANXA1,5.547164,0.76537365,2.9034047714055652e-08,2.817694671646949e-06,BMS,BMS-345541,up
RAN,5.5387573,2.1466174,3.04625062813022e-08,2.946233798633248e-06,BMS,BMS-345541,up
LDHB,5.517937,0.9407088,3.430024154343284e-08,3.306123281829251e-06,BMS,BMS-345541,up
RPS15,5.512854,3.152817,3.5306108358494334e-08,3.3915406734339406e-06,BMS,BMS-345541,up
RBM42,5.4963346,2.8943713,3.8776686235209856e-08,3.687428639373748e-06,BMS,BMS-345541,up
TM4SF1,5.4818673,0.9553033,4.208592931386247e-08,3.988732658515835e-06,BMS,BMS-345541,up
BLVRB,5.4808903,1.524411,4.2319142438616387e-08,3.997466194751704e-06,BMS,BMS-345541,up
HM13,5.472777,1.1864014,4.430377879376537e-08,4.134430081565938e-06,BMS,BMS-345541,up
MT-CO1,5.4725814,0.4746146,4.435269760731333e-08,4.134430081565938e-06,BMS,BMS-345541,up
PCYOX1,5.4630995,1.3112965,4.6789159804470975e-08,4.347249870619995e-06,BMS,BMS-345541,up
EIF3K,5.4586034,1.5912297,4.798947498033138e-08,4.444201771217747e-06,BMS,BMS-345541,up
PPP1CA,5.456062,1.9613334,4.8681061612756896e-08,4.4935632703006675e-06,BMS,BMS-345541,up
TLN1,5.4510765,1.42704,5.0065805184588895e-08,4.599050031276231e-06,BMS,BMS-345541,up
