names,scores,logfoldchanges,pvals,pvals_adj,perturbation_label,compound,direction
POLR3C,3.4277844,0.60203505,0.0006085283357930274,0.0029865736023039157,SAHA,Vorinostat,up
ALG6,3.4247591,1.0485653,0.0006153445261834799,0.0030189808142291295,SAHA,Vorinostat,up
SYMPK,3.4243903,0.72133034,0.000616180611881496,0.003022559490998413,SAHA,Vorinostat,up
KDSR,3.4222505,0.54867244,0.000621050790822221,0.003045921999016978,SAHA,Vorinostat,up
HMGN1,3.4215863,0.9768545,0.000622569492702217,0.003052842063366573,SAHA,Vorinostat,up
INPP5B,3.421365,1.0895407,0.0006230764940306397,0.0030542711793530995,SAHA,Vorinostat,up
CCNL2,3.419668,1.7170198,0.000626976285446962,0.0030728561011753733,SAHA,Vorinostat,up
MCM3AP,3.4142814,0.47675028,0.0006395048146507782,0.0031331755597464993,SAHA,Vorinostat,up
RGS12,3.412732,1.0580163,0.0006431518098148336,0.003150498874076535,SAHA,Vorinostat,up
AP1S1,3.4125106,3.0371861,0.0006436743854643344,0.0031525137807273257,SAHA,Vorinostat,up
TAF9,3.412363,2.2869055,0.0006440229886039225,0.0031536760758697005,SAHA,Vorinostat,up
C19orf68,3.4108872,1.7873338,0.0006475186909590685,0.003170246141050118,SAHA,Vorinostat,up
FAM98B,3.4101493,0.975003,0.000649273152178367,0.0031782868520349914,SAHA,Vorinostat,up
CCDC126,3.4100018,1.384367,0.0006496245745242902,0.0031794578916872775,SAHA,Vorinostat,up
PARGP1,3.4094114,0.67762053,0.0006510320336260527,0.0031852461617567474,SAHA,Vorinostat,up
TMEM258,3.4091163,0.9986537,0.000651736826147884,0.0031881439978212905,SAHA,Vorinostat,up
DNAJC9,3.4082308,0.6707488,0.0006538554634254145,0.0031974039900861772,SAHA,Vorinostat,up
CENPA,3.407788,1.1604104,0.000654917182194819,0.0032020433245405072,SAHA,Vorinostat,up
C7orf73,3.4077144,0.7260944,0.0006550942911136327,0.0032023567399651755,SAHA,Vorinostat,up
AC110285.6,3.4066076,7.046936,0.000657756275296921,0.003214260618962605,SAHA,Vorinostat,up
POLR3D,3.404689,2.8502374,0.0006623942224987654,0.003235808908320981,SAHA,Vorinostat,up
SRD5A1,3.404689,0.9015241,0.0006623942224987654,0.003235808908320981,SAHA,Vorinostat,up
PUS3,3.4030657,2.6390073,0.0006663423711675594,0.0032539738263219534,SAHA,Vorinostat,up
TMEM14A,3.4027705,0.8452891,0.0006670625629161387,0.0032569295154923393,SAHA,Vorinostat,up
AC008982.1,3.4002619,2.606194,0.000673213478055389,0.0032863950975251703,SAHA,Vorinostat,up
TTC8,3.3993027,0.29751092,0.0006755792019526994,0.003297375719072614,SAHA,Vorinostat,up
WBP4,3.3990812,0.62930155,0.0006761262346623181,0.003299477395877522,SAHA,Vorinostat,up
STOML2,3.3981957,1.8597262,0.0006783184858982471,0.0033096055877039473,SAHA,Vorinostat,up
AURKB,3.3979006,2.313961,0.0006790507034673852,0.0033126078214595904,SAHA,Vorinostat,up
ACADM,3.397089,0.63069963,0.0006810680921013754,0.003321305729473202,SAHA,Vorinostat,up
NANP,3.3962774,2.254181,0.0006830910509133857,0.003330597763383263,SAHA,Vorinostat,up
TXNIP,3.3947277,3.3702826,0.0006869685816319179,0.0033489275187141387,SAHA,Vorinostat,up
LINC00243,3.3942113,4.2937236,0.000688265631566337,0.003354096555000319,SAHA,Vorinostat,up
NSMF,3.3942113,4.663064,0.000688265631566337,0.003354096555000319,SAHA,Vorinostat,up
PRDM4,3.3939161,0.97314554,0.0006890078245615531,0.0033571361300593692,SAHA,Vorinostat,up
LMNB2,3.3931782,1.4279389,0.0006908665628163021,0.00336561400328148,SAHA,Vorinostat,up
TICRR,3.392588,0.7512646,0.0006923569078290177,0.0033722946122479724,SAHA,Vorinostat,up
MCM3,3.3922927,1.0962356,0.0006931032003475849,0.003374769500249117,SAHA,Vorinostat,up
VPS26B,3.3922927,2.176531,0.0006931032003475849,0.003374769500249117,SAHA,Vorinostat,up
AL354740.1,3.392219,2.0302916,0.0006932898902607684,0.0033750985930612702,SAHA,Vorinostat,up
MYPOP,3.3917763,1.968078,0.000694411011544061,0.0033799758236234285,SAHA,Vorinostat,up
DHRS7,3.3911123,0.46481675,0.0006960958531173633,0.0033875947596839844,SAHA,Vorinostat,up
FBXL15,3.3908908,3.072121,0.0006966583107038826,0.003389749864135753,SAHA,Vorinostat,up
MCRIP2,3.3896365,3.8184817,0.0006998535565289461,0.0034047124609300045,SAHA,Vorinostat,up
C16orf59,3.3893414,3.4743772,0.0007006073557377223,0.0034077945840878085,SAHA,Vorinostat,up
PRRG1,3.3886774,2.7209394,0.0007023061634578229,0.003415471436428314,SAHA,Vorinostat,up
PDIA5,3.3884559,0.43058845,0.0007028732828093114,0.0034176429458219397,SAHA,Vorinostat,up
USP28,3.3862424,0.8836844,0.000708567929235475,0.0034447414614299007,SAHA,Vorinostat,up
STXBP6,3.386021,1.0293266,0.0007091397455992295,0.003446930036156255,SAHA,Vorinostat,up
RNASEH1,3.3850617,2.0554042,0.0007116225748036642,0.003458405166315595,SAHA,Vorinostat,up
PGBD5,3.3841763,0.51798826,0.0007139215837700517,0.0034689831688744384,SAHA,Vorinostat,up
USP16,3.383955,0.4193134,0.0007144974132943657,0.003470590966392824,SAHA,Vorinostat,up
PPP2R2B,3.3832908,2.01734,0.0007162274920637151,0.003478398401045683,SAHA,Vorinostat,up
C2orf42,3.3820364,1.3956305,0.0007195060426260186,0.0034937221103386075,SAHA,Vorinostat,up
