cell_id,UMAP_1,UMAP_2,leiden,treatment_group,perturbation,dose_value,percent_mito,ngenes,cell_line,disease
A11_B02_RT_506,4.8979306,4.2783127,5,BMS,BMS,100.0,14.161141,5075,A549,lung adenocarcinoma
A11_B02_RT_514,8.554826,-1.2345375,0,BMS,BMS,10.0,6.366874,1334,A549,lung adenocarcinoma
A11_B02_RT_575,2.502214,7.2678604,1,BMS,BMS,100.0,3.3457248,802,A549,lung adenocarcinoma
A12_A01_RT_398,9.539237,3.5410652,4,BMS,BMS,10.0,8.858644,3908,A549,lung adenocarcinoma
A12_A01_RT_405,8.822862,-2.3074687,0,BMS,BMS,10.0,17.891611,817,A549,lung adenocarcinoma
A12_A01_RT_687,9.351922,-2.0075183,0,BMS,BMS,10.0,8.917683,887,A549,lung adenocarcinoma
A12_B02_RT_429,-0.16641177,6.9952536,1,BMS,BMS,50.0,2.8552887,1066,A549,lung adenocarcinoma
A12_B02_RT_476,8.47736,-0.8827099,0,BMS,BMS,10.0,7.681756,981,A549,lung adenocarcinoma
A12_B02_RT_570,0.63011205,8.783457,1,BMS,BMS,50.0,4.848485,862,A549,lung adenocarcinoma
A12_B02_RT_610,3.2263832,5.898671,0,BMS,BMS,10.0,4.0566397,1906,A549,lung adenocarcinoma
A12_B02_RT_684,4.057924,2.949497,5,BMS,BMS,100.0,11.938062,1216,A549,lung adenocarcinoma
B01_A01_RT_402,7.1487412,2.2731419,0,BMS,BMS,50.0,9.170689,3171,A549,lung adenocarcinoma
B01_A01_RT_461,8.97234,-2.416934,0,BMS,BMS,10.0,11.410181,986,A549,lung adenocarcinoma
B01_A01_RT_707,5.4082727,4.1081977,5,BMS,BMS,50.0,9.664658,2691,A549,lung adenocarcinoma
B01_A01_RT_721,9.0778055,-1.4434627,0,BMS,BMS,10.0,7.4165635,984,A549,lung adenocarcinoma
B01_B02_RT_430,9.08218,-1.9721226,0,BMS,BMS,10.0,7.9864063,760,A549,lung adenocarcinoma
