cell_id,UMAP_1,UMAP_2,leiden,treatment_group,perturbation,dose_value,percent_mito,ngenes,cell_line,disease
A08_A01_RT_545,4.01597,-0.22633168,3,Nutlin,Nutlin,10.0,13.3896265,2098,A549,lung adenocarcinoma
E09_A01_RT_477,5.917785,-0.18993656,3,Nutlin,Nutlin,50.0,4.691732,4810,A549,lung adenocarcinoma
B01_A01_RT_503,5.1752176,0.9180356,3,Nutlin,Nutlin,10.0,6.8357325,4268,A549,lung adenocarcinoma
E11_B02_RT_534,5.197996,-2.0267537,3,Nutlin,Nutlin,10.0,3.8099408,2561,A549,lung adenocarcinoma
A12_A01_RT_467,5.894603,0.20527165,3,Nutlin,Nutlin,10.0,9.3951845,2666,A549,lung adenocarcinoma
A10_B02_RT_424,1.3570586,8.386056,1,Nutlin,Nutlin,50.0,3.2947977,1149,A549,lung adenocarcinoma
F05_A01_RT_438,4.9880075,0.72044957,3,Nutlin,Nutlin,10.0,8.037998,2686,A549,lung adenocarcinoma
F06_B02_RT_589,4.251767,0.17213683,3,Nutlin,Nutlin,10.0,5.661451,2024,A549,lung adenocarcinoma
F07_A01_RT_702,4.3963065,1.7750467,3,Nutlin,Nutlin,10.0,14.647559,2702,A549,lung adenocarcinoma
B08_B02_RT_593,4.007281,0.46133387,3,Nutlin,Nutlin,10.0,8.5912485,2040,A549,lung adenocarcinoma
F09_B02_RT_635,0.61997145,8.303154,1,Nutlin,Nutlin,10.0,2.7076924,1100,A549,lung adenocarcinoma
B12_A01_RT_691,4.3781314,0.3879606,3,Nutlin,Nutlin,10.0,5.1452785,2765,A549,lung adenocarcinoma
E08_A01_RT_568,3.1003485,-0.8338,3,Nutlin,Nutlin,10.0,7.573493,2140,A549,lung adenocarcinoma
G02_B02_RT_467,0.5787067,8.567243,1,Nutlin,Nutlin,50.0,8.846918,718,A549,lung adenocarcinoma
A07_A01_RT_688,3.0512388,0.61901987,3,Nutlin,Nutlin,10.0,8.794898,1707,A549,lung adenocarcinoma
D04_A01_RT_432,3.4856167,-0.27485994,3,Nutlin,Nutlin,10.0,11.580699,2893,A549,lung adenocarcinoma
H03_A01_RT_398,3.5497403,1.2276424,3,Nutlin,Nutlin,10.0,13.505747,1633,A549,lung adenocarcinoma
B02_A01_RT_479,4.201618,-0.13296944,3,Nutlin,Nutlin,10.0,7.3394494,2868,A549,lung adenocarcinoma
E02_A01_RT_726,7.1291833,1.3560103,0,Nutlin,Nutlin,50.0,13.26202,3733,A549,lung adenocarcinoma
A06_B02_RT_723,5.526343,-0.74211764,3,Nutlin,Nutlin,50.0,1.8181819,1888,A549,lung adenocarcinoma
C05_B02_RT_716,-0.9438133,8.887792,1,Nutlin,Nutlin,50.0,6.6022544,898,A549,lung adenocarcinoma
G09_A01_RT_740,0.348495,7.311603,1,Nutlin,Nutlin,50.0,7.29927,752,A549,lung adenocarcinoma
B03_A01_RT_455,2.2583857,7.852471,1,Nutlin,Nutlin,50.0,6.0546875,739,A549,lung adenocarcinoma
D09_B02_RT_438,6.6444983,0.65760857,0,Nutlin,Nutlin,10.0,3.4786477,4734,A549,lung adenocarcinoma
A09_A01_RT_726,6.248033,-0.54086083,3,Nutlin,Nutlin,50.0,1.4721627,3708,A549,lung adenocarcinoma
C04_A01_RT_519,6.0516515,0.27777317,3,Nutlin,Nutlin,50.0,6.475463,4863,A549,lung adenocarcinoma
D03_A01_RT_730,4.923305,0.5334172,3,Nutlin,Nutlin,10.0,8.443397,3069,A549,lung adenocarcinoma
F02_A01_RT_757,4.0925217,0.29847842,3,Nutlin,Nutlin,10.0,12.752242,3181,A549,lung adenocarcinoma
B06_A01_RT_397,1.7803006,6.7080503,1,Nutlin,Nutlin,50.0,6.2010446,1038,A549,lung adenocarcinoma
G06_B02_RT_546,6.2220197,-0.8695177,3,Nutlin,Nutlin,50.0,5.3183975,4099,A549,lung adenocarcinoma
C12_B02_RT_485,4.9445343,-0.26691929,3,Nutlin,Nutlin,10.0,6.3405514,3038,A549,lung adenocarcinoma
D10_B02_RT_506,3.3624372,0.4024073,3,Nutlin,Nutlin,10.0,10.606061,2029,A549,lung adenocarcinoma
F04_A01_RT_719,5.0656962,0.83989036,3,Nutlin,Nutlin,10.0,10.299101,3081,A549,lung adenocarcinoma
H11_A01_RT_569,5.420341,-1.087808,3,Nutlin,Nutlin,10.0,4.092885,4021,A549,lung adenocarcinoma
G04_A01_RT_463,0.96625847,8.612586,1,Nutlin,Nutlin,100.0,8.104815,1020,A549,lung adenocarcinoma
C04_A01_RT_711,4.3346796,2.0289543,3,Nutlin,Nutlin,10.0,11.536758,2363,A549,lung adenocarcinoma
B10_A01_RT_612,3.2856784,-1.40695,3,Nutlin,Nutlin,10.0,13.464837,813,A549,lung adenocarcinoma
G03_B02_RT_402,-0.26631385,10.092917,1,Nutlin,Nutlin,50.0,3.6277025,1566,A549,lung adenocarcinoma
F08_A01_RT_400,1.3611751,9.528844,1,Nutlin,Nutlin,10.0,5.026563,1479,A549,lung adenocarcinoma
B01_B02_RT_633,4.1690636,-0.12201272,3,Nutlin,Nutlin,10.0,6.018774,2732,A549,lung adenocarcinoma
E12_B02_RT_694,3.1108124,-1.4722633,3,Nutlin,Nutlin,50.0,3.7438958,1286,A549,lung adenocarcinoma
C09_B02_RT_725,4.152947,1.6917459,3,Nutlin,Nutlin,10.0,10.917566,2146,A549,lung adenocarcinoma
F01_A01_RT_396,4.159696,0.48543805,3,Nutlin,Nutlin,10.0,19.294209,1471,A549,lung adenocarcinoma
C06_B02_RT_597,3.5015783,-1.9963741,3,Nutlin,Nutlin,50.0,5.123457,1854,A549,lung adenocarcinoma
B11_B02_RT_535,4.9463134,-0.25090486,3,Nutlin,Nutlin,10.0,12.615568,3764,A549,lung adenocarcinoma
C09_A01_RT_533,4.203057,1.2131531,3,Nutlin,Nutlin,10.0,5.0662675,2442,A549,lung adenocarcinoma
H06_A01_RT_554,2.698689,-0.7111422,3,Nutlin,Nutlin,10.0,11.007371,1314,A549,lung adenocarcinoma
D10_B02_RT_702,3.967878,1.5546106,3,Nutlin,Nutlin,10.0,12.791822,3093,A549,lung adenocarcinoma
G01_B02_RT_671,3.7379553,-1.3180225,3,Nutlin,Nutlin,10.0,4.2757096,1698,A549,lung adenocarcinoma
C07_B02_RT_400,5.0302143,1.5808368,3,Nutlin,Nutlin,10.0,8.523087,2876,A549,lung adenocarcinoma
H01_A01_RT_694,3.6096885,1.9191381,3,Nutlin,Nutlin,10.0,6.1779623,1392,A549,lung adenocarcinoma
G09_B02_RT_433,2.0167518,7.13205,1,Nutlin,Nutlin,50.0,1.9876628,1023,A549,lung adenocarcinoma
F08_A01_RT_459,4.100411,-1.266683,3,Nutlin,Nutlin,10.0,7.414105,1659,A549,lung adenocarcinoma
H08_B02_RT_663,4.153916,-1.2914597,3,Nutlin,Nutlin,10.0,7.014809,1566,A549,lung adenocarcinoma
H10_B02_RT_424,-0.24033049,8.402678,1,Nutlin,Nutlin,50.0,2.997416,1315,A549,lung adenocarcinoma
C07_B02_RT_619,1.7928259,7.492621,1,Nutlin,Nutlin,10.0,6.388362,1080,A549,lung adenocarcinoma
D10_A01_RT_731,4.5850143,3.14401,5,Nutlin,Nutlin,10.0,9.982788,2406,A549,lung adenocarcinoma
C11_B02_RT_721,5.266803,0.10225089,3,Nutlin,Nutlin,10.0,4.912696,4129,A549,lung adenocarcinoma
A10_B02_RT_453,4.420634,1.2767738,3,Nutlin,Nutlin,10.0,5.3300624,2410,A549,lung adenocarcinoma
C04_B02_RT_720,-0.076382115,8.9115715,1,Nutlin,Nutlin,50.0,2.3809524,1201,A549,lung adenocarcinoma
G12_A01_RT_676,0.5118738,9.733276,1,Nutlin,Nutlin,10.0,3.6644166,686,A549,lung adenocarcinoma
C08_A01_RT_710,2.657977,7.63271,1,Nutlin,Nutlin,50.0,6.204819,1104,A549,lung adenocarcinoma
A06_B02_RT_537,4.5412016,0.6044135,3,Nutlin,Nutlin,10.0,14.149067,4116,A549,lung adenocarcinoma
C08_B02_RT_751,3.3043687,-0.9769875,3,Nutlin,Nutlin,10.0,10.141509,1619,A549,lung adenocarcinoma
G01_B02_RT_399,4.435214,-0.23117562,3,Nutlin,Nutlin,50.0,2.5,2166,A549,lung adenocarcinoma
G02_A01_RT_487,5.6033187,0.25094655,3,Nutlin,Nutlin,10.0,3.5244162,4438,A549,lung adenocarcinoma
D06_A01_RT_710,2.628849,7.552602,1,Nutlin,Nutlin,50.0,7.4235806,804,A549,lung adenocarcinoma
C09_A01_RT_527,4.1874714,0.11572848,3,Nutlin,Nutlin,10.0,15.673904,4367,A549,lung adenocarcinoma
E12_A01_RT_750,3.3582807,-0.7155586,3,Nutlin,Nutlin,10.0,8.874546,2487,A549,lung adenocarcinoma
G08_B02_RT_756,4.625094,0.037533034,3,Nutlin,Nutlin,10.0,5.479841,2095,A549,lung adenocarcinoma
E01_B02_RT_757,8.394201,-1.0134219,0,Nutlin,Nutlin,50.0,11.039162,1717,A549,lung adenocarcinoma
E03_B02_RT_678,4.8352437,1.0443994,3,Nutlin,Nutlin,10.0,9.407806,3236,A549,lung adenocarcinoma
D10_B02_RT_690,6.460295,0.64240533,3,Nutlin,Nutlin,50.0,11.102584,2126,A549,lung adenocarcinoma
B01_B02_RT_434,4.729308,0.40869457,3,Nutlin,Nutlin,50.0,6.938918,5052,A549,lung adenocarcinoma
B09_B02_RT_433,4.6990657,1.0825653,3,Nutlin,Nutlin,10.0,12.470366,3450,A549,lung adenocarcinoma
F10_B02_RT_646,5.665244,0.3206988,3,Nutlin,Nutlin,10.0,3.4364262,2927,A549,lung adenocarcinoma
G05_B02_RT_502,-0.4515248,8.749391,1,Nutlin,Nutlin,100.0,4.6338673,1166,A549,lung adenocarcinoma
B01_A01_RT_462,5.764528,-0.84589726,3,Nutlin,Nutlin,50.0,5.2988224,4106,A549,lung adenocarcinoma
F11_A01_RT_443,7.185514,0.35668048,0,Nutlin,Nutlin,10.0,8.237952,3236,A549,lung adenocarcinoma
H05_B02_RT_753,4.7293067,-1.8917434,3,Nutlin,Nutlin,50.0,4.9565215,2900,A549,lung adenocarcinoma
G03_A01_RT_558,6.2421517,-1.0196289,3,Nutlin,Nutlin,50.0,2.1931589,5251,A549,lung adenocarcinoma
G04_A01_RT_676,2.5028903,9.507528,1,Nutlin,Nutlin,50.0,2.848242,1294,A549,lung adenocarcinoma
D10_B02_RT_423,5.334123,0.7563384,3,Nutlin,Nutlin,10.0,6.520605,2763,A549,lung adenocarcinoma
A02_A01_RT_757,5.2099094,0.116979256,3,Nutlin,Nutlin,50.0,6.9596252,3976,A549,lung adenocarcinoma
C04_A01_RT_556,4.0474224,-0.062378213,3,Nutlin,Nutlin,10.0,9.540142,3451,A549,lung adenocarcinoma
A04_B02_RT_628,5.6209645,3.5639145,5,Nutlin,Nutlin,10.0,8.288423,2688,A549,lung adenocarcinoma
A10_A01_RT_556,5.9831214,-0.08513142,3,Nutlin,Nutlin,50.0,5.564288,3273,A549,lung adenocarcinoma
B08_A01_RT_685,5.30346,-1.3850781,3,Nutlin,Nutlin,50.0,2.038835,2824,A549,lung adenocarcinoma
H03_B02_RT_526,5.4030266,-1.1657084,3,Nutlin,Nutlin,50.0,3.19446,3953,A549,lung adenocarcinoma
A12_B02_RT_601,4.458093,0.9178506,3,Nutlin,Nutlin,10.0,5.937235,2894,A549,lung adenocarcinoma
B05_B02_RT_400,-0.13786395,7.8871465,1,Nutlin,Nutlin,100.0,4.139073,1120,A549,lung adenocarcinoma
F11_A01_RT_764,5.99388,1.7935922,3,Nutlin,Nutlin,50.0,4.018743,6583,A549,lung adenocarcinoma
G01_A01_RT_599,4.831755,-1.100571,3,Nutlin,Nutlin,10.0,8.15285,3613,A549,lung adenocarcinoma
F07_B02_RT_727,5.309776,1.2525749,3,Nutlin,Nutlin,10.0,6.359447,3445,A549,lung adenocarcinoma
E04_A01_RT_386,4.139753,-0.7879839,3,Nutlin,Nutlin,10.0,5.018158,3063,A549,lung adenocarcinoma
C03_B02_RT_668,4.5272136,1.0838268,3,Nutlin,Nutlin,10.0,5.3705516,2976,A549,lung adenocarcinoma
E02_A01_RT_507,7.58957,0.93646973,0,Nutlin,Nutlin,50.0,10.429253,4245,A549,lung adenocarcinoma
H05_A01_RT_617,1.8558753,7.6788692,1,Nutlin,Nutlin,10.0,11.35182,803,A549,lung adenocarcinoma
E06_A01_RT_723,4.4742427,1.6411631,3,Nutlin,Nutlin,10.0,12.324082,3280,A549,lung adenocarcinoma
E03_B02_RT_406,5.612576,-0.74429554,3,Nutlin,Nutlin,50.0,2.7440634,2223,A549,lung adenocarcinoma
C03_B02_RT_517,-1.0404822,7.9905076,1,Nutlin,Nutlin,10.0,4.5589695,741,A549,lung adenocarcinoma
A06_A01_RT_710,5.40717,1.3440393,3,Nutlin,Nutlin,10.0,8.380938,4808,A549,lung adenocarcinoma
H01_A01_RT_505,4.189226,-2.045232,3,Nutlin,Nutlin,50.0,7.9713035,1588,A549,lung adenocarcinoma
G10_A01_RT_604,0.7604597,9.308201,1,Nutlin,Nutlin,50.0,3.2042723,997,A549,lung adenocarcinoma
B12_B02_RT_711,4.916478,1.9507456,3,Nutlin,Nutlin,10.0,5.9759502,3600,A549,lung adenocarcinoma
H11_B02_RT_692,5.304353,0.41845497,3,Nutlin,Nutlin,10.0,2.8588932,2649,A549,lung adenocarcinoma
H04_B02_RT_730,2.9376497,0.6516438,3,Nutlin,Nutlin,10.0,6.5323367,1747,A549,lung adenocarcinoma
H02_B02_RT_495,4.866705,0.65929306,3,Nutlin,Nutlin,10.0,3.1952343,2158,A549,lung adenocarcinoma
C12_B02_RT_588,4.54839,0.38225424,3,Nutlin,Nutlin,10.0,3.5525126,3572,A549,lung adenocarcinoma
A01_B02_RT_767,5.200053,-1.3043416,3,Nutlin,Nutlin,10.0,10.508637,3573,A549,lung adenocarcinoma
G03_A01_RT_727,0.24422868,9.068669,1,Nutlin,Nutlin,10.0,3.0860534,1165,A549,lung adenocarcinoma
G07_B02_RT_552,7.174168,2.2235374,0,Nutlin,Nutlin,100.0,9.731544,2748,A549,lung adenocarcinoma
G09_A01_RT_387,-0.15350352,6.4513607,1,Nutlin,Nutlin,100.0,4.7966,1102,A549,lung adenocarcinoma
H03_B02_RT_641,-0.6539208,7.1470246,1,Nutlin,Nutlin,50.0,4.5454545,933,A549,lung adenocarcinoma
G03_B02_RT_728,6.0413003,0.42016616,3,Nutlin,Nutlin,10.0,3.873858,4661,A549,lung adenocarcinoma
B05_B02_RT_616,3.2542655,-1.3424509,3,Nutlin,Nutlin,10.0,11.603603,1585,A549,lung adenocarcinoma
B07_A01_RT_388,5.1172786,0.79164654,3,Nutlin,Nutlin,10.0,5.29857,4285,A549,lung adenocarcinoma
F03_A01_RT_481,4.5677395,0.034707423,3,Nutlin,Nutlin,10.0,5.265986,2146,A549,lung adenocarcinoma
G07_B02_RT_433,6.6413217,0.16899909,0,Nutlin,Nutlin,50.0,2.0592806,5815,A549,lung adenocarcinoma
B11_A01_RT_720,4.6443715,0.608664,3,Nutlin,Nutlin,10.0,6.6828675,3158,A549,lung adenocarcinoma
G04_B02_RT_745,5.3025694,-0.2736975,3,Nutlin,Nutlin,10.0,12.592328,3568,A549,lung adenocarcinoma
H01_A01_RT_517,2.958519,0.75704074,3,Nutlin,Nutlin,10.0,6.1813188,1766,A549,lung adenocarcinoma
F08_A01_RT_633,2.495913,-0.67619157,3,Nutlin,Nutlin,10.0,15.935115,1237,A549,lung adenocarcinoma
H08_B02_RT_636,6.042171,-1.2908885,3,Nutlin,Nutlin,50.0,5.232826,2510,A549,lung adenocarcinoma
D05_A01_RT_403,6.9978657,1.9258924,0,Nutlin,Nutlin,10.0,8.27479,5550,A549,lung adenocarcinoma
G05_A01_RT_718,5.2213917,1.5226356,3,Nutlin,Nutlin,10.0,11.168914,3583,A549,lung adenocarcinoma
B07_A01_RT_644,4.759342,-2.173345,3,Nutlin,Nutlin,50.0,3.1212194,2364,A549,lung adenocarcinoma
C07_B02_RT_403,4.533274,-1.0763588,3,Nutlin,Nutlin,10.0,9.895083,2513,A549,lung adenocarcinoma
B09_A01_RT_666,4.3180623,0.55583256,3,Nutlin,Nutlin,10.0,6.917837,2420,A549,lung adenocarcinoma
F08_B02_RT_480,3.5739946,-0.6767105,3,Nutlin,Nutlin,10.0,13.262652,2422,A549,lung adenocarcinoma
D10_B02_RT_752,2.6806636,8.208164,1,Nutlin,Nutlin,10.0,3.8431976,891,A549,lung adenocarcinoma
F09_B02_RT_701,-0.17152593,7.531773,1,Nutlin,Nutlin,10.0,3.3911672,867,A549,lung adenocarcinoma
D10_B02_RT_716,-0.2991489,7.9622135,1,Nutlin,Nutlin,10.0,7.142857,791,A549,lung adenocarcinoma
F12_A01_RT_599,9.727505,7.077339,2,Nutlin,Nutlin,100.0,3.9677203,2469,A549,lung adenocarcinoma
E11_B02_RT_596,5.692366,0.31106547,3,Nutlin,Nutlin,50.0,0.77163327,2937,A549,lung adenocarcinoma
H09_B02_RT_669,3.3899965,0.55442995,3,Nutlin,Nutlin,10.0,16.410257,2488,A549,lung adenocarcinoma
B05_B02_RT_468,8.136811,0.7180961,0,Nutlin,Nutlin,10.0,5.288567,4082,A549,lung adenocarcinoma
D10_B02_RT_672,3.8870263,-0.791858,3,Nutlin,Nutlin,10.0,12.65046,2177,A549,lung adenocarcinoma
G03_A01_RT_635,-0.01260954,9.927173,1,Nutlin,Nutlin,50.0,2.7646663,1751,A549,lung adenocarcinoma
G01_B02_RT_432,5.0430856,3.1000533,5,Nutlin,Nutlin,50.0,7.095662,1992,A549,lung adenocarcinoma
A03_A01_RT_617,5.508951,-0.56646883,3,Nutlin,Nutlin,10.0,4.4349833,2900,A549,lung adenocarcinoma
H11_B02_RT_514,3.7393174,-0.6608581,3,Nutlin,Nutlin,10.0,7.87254,1826,A549,lung adenocarcinoma
D10_A01_RT_622,8.8672495,5.5648212,2,Nutlin,Nutlin,10.0,9.810792,4344,A549,lung adenocarcinoma
H06_A01_RT_484,4.4090157,0.22959861,3,Nutlin,Nutlin,10.0,14.905149,1897,A549,lung adenocarcinoma
H09_A01_RT_519,3.685995,0.58459574,3,Nutlin,Nutlin,10.0,4.539847,2219,A549,lung adenocarcinoma
C09_B02_RT_695,6.614989,-0.5345857,3,Nutlin,Nutlin,50.0,3.0942335,2422,A549,lung adenocarcinoma
G08_A01_RT_716,-1.3830432,8.930226,1,Nutlin,Nutlin,10.0,6.6051135,996,A549,lung adenocarcinoma
A12_B02_RT_651,3.064145,0.089965604,3,Nutlin,Nutlin,10.0,10.428548,2799,A549,lung adenocarcinoma
D03_B02_RT_657,4.984095,-1.2210191,3,Nutlin,Nutlin,10.0,9.380142,2712,A549,lung adenocarcinoma
B11_B02_RT_617,-0.8198296,7.3414216,1,Nutlin,Nutlin,50.0,10.382202,1124,A549,lung adenocarcinoma
H08_A01_RT_511,2.7791023,-0.46216446,3,Nutlin,Nutlin,10.0,12.841439,2875,A549,lung adenocarcinoma
C06_A01_RT_711,-1.5347906,9.100804,1,Nutlin,Nutlin,50.0,7.1784644,729,A549,lung adenocarcinoma
H05_B02_RT_480,4.6398745,1.0389957,3,Nutlin,Nutlin,10.0,7.8079815,3188,A549,lung adenocarcinoma
H11_A01_RT_602,3.7120476,0.78539383,3,Nutlin,Nutlin,10.0,17.016615,2512,A549,lung adenocarcinoma
D04_B02_RT_407,3.2760482,-0.6891671,3,Nutlin,Nutlin,10.0,10.697675,1770,A549,lung adenocarcinoma
D03_A01_RT_676,4.343349,0.91443044,3,Nutlin,Nutlin,10.0,7.079168,3246,A549,lung adenocarcinoma
D06_A01_RT_702,5.690549,-0.3876175,3,Nutlin,Nutlin,50.0,6.237049,5275,A549,lung adenocarcinoma
D02_B02_RT_754,5.144977,-0.44777924,3,Nutlin,Nutlin,50.0,3.3402922,1891,A549,lung adenocarcinoma
D03_A01_RT_635,-0.32204437,8.261967,1,Nutlin,Nutlin,100.0,4.8689137,783,A549,lung adenocarcinoma
H03_B02_RT_404,4.181264,-1.8539215,3,Nutlin,Nutlin,10.0,3.951976,1333,A549,lung adenocarcinoma
A05_A01_RT_438,4.9943814,-1.4557182,3,Nutlin,Nutlin,10.0,2.7371101,3736,A549,lung adenocarcinoma
H10_A01_RT_640,2.4915857,-1.0505793,3,Nutlin,Nutlin,10.0,17.629482,667,A549,lung adenocarcinoma
D03_A01_RT_400,5.155176,1.1146629,3,Nutlin,Nutlin,10.0,6.3502564,2965,A549,lung adenocarcinoma
G06_A01_RT_575,1.5408226,9.167001,1,Nutlin,Nutlin,50.0,4.6676097,1379,A549,lung adenocarcinoma
D09_A01_RT_566,3.7414966,1.6704689,3,Nutlin,Nutlin,10.0,12.655017,1903,A549,lung adenocarcinoma
D12_B02_RT_674,3.5106373,-1.1926279,3,Nutlin,Nutlin,10.0,6.563126,2158,A549,lung adenocarcinoma
H07_B02_RT_472,4.008891,1.8267822,3,Nutlin,Nutlin,10.0,8.568055,2695,A549,lung adenocarcinoma
B12_A01_RT_428,5.153989,-1.2470955,3,Nutlin,Nutlin,50.0,4.6347713,2584,A549,lung adenocarcinoma
A11_B02_RT_697,3.5698054,-1.038426,3,Nutlin,Nutlin,10.0,12.546864,2060,A549,lung adenocarcinoma
F12_B02_RT_615,4.061913,-0.58775616,3,Nutlin,Nutlin,10.0,2.7262044,2322,A549,lung adenocarcinoma
H07_A01_RT_402,2.377115,0.026493987,3,Nutlin,Nutlin,10.0,10.593221,952,A549,lung adenocarcinoma
F02_B02_RT_752,7.091591,0.7076999,0,Nutlin,Nutlin,10.0,6.071429,2627,A549,lung adenocarcinoma
A11_B02_RT_387,0.2583747,6.4407682,1,Nutlin,Nutlin,10.0,4.9044056,847,A549,lung adenocarcinoma
E12_B02_RT_739,3.7758248,-0.95074224,3,Nutlin,Nutlin,10.0,9.730034,1133,A549,lung adenocarcinoma
F06_A01_RT_726,4.211603,1.1264051,3,Nutlin,Nutlin,10.0,13.650058,4404,A549,lung adenocarcinoma
B01_B02_RT_437,2.1327298,7.68633,1,Nutlin,Nutlin,10.0,6.209453,775,A549,lung adenocarcinoma
F03_B02_RT_576,2.8147213,0.106928304,3,Nutlin,Nutlin,10.0,4.8163266,856,A549,lung adenocarcinoma
H02_B02_RT_506,5.760083,-0.9855571,3,Nutlin,Nutlin,50.0,3.7733786,3935,A549,lung adenocarcinoma
F09_B02_RT_391,5.3473306,-0.662677,3,Nutlin,Nutlin,10.0,7.916325,3350,A549,lung adenocarcinoma
A04_A01_RT_486,3.0367908,-1.1363084,3,Nutlin,Nutlin,10.0,14.771491,1938,A549,lung adenocarcinoma
H03_A01_RT_696,5.904654,3.5221777,5,Nutlin,Nutlin,50.0,8.312655,4353,A549,lung adenocarcinoma
D08_A01_RT_443,4.05208,0.41609058,3,Nutlin,Nutlin,10.0,9.71161,2205,A549,lung adenocarcinoma
E01_A01_RT_535,4.420941,0.53280735,3,Nutlin,Nutlin,10.0,8.160963,2657,A549,lung adenocarcinoma
H11_B02_RT_625,4.272755,-1.157909,3,Nutlin,Nutlin,10.0,5.599369,2478,A549,lung adenocarcinoma
A12_A01_RT_563,4.163565,-0.94397146,3,Nutlin,Nutlin,10.0,3.4482758,1604,A549,lung adenocarcinoma
C11_B02_RT_700,6.070264,-1.3203816,3,Nutlin,Nutlin,10.0,2.8356164,3471,A549,lung adenocarcinoma
G11_A01_RT_629,-0.49647385,7.4627204,1,Nutlin,Nutlin,50.0,4.107744,983,A549,lung adenocarcinoma
C09_A01_RT_499,5.624169,-0.45724866,3,Nutlin,Nutlin,50.0,4.3943834,4260,A549,lung adenocarcinoma
F11_A01_RT_492,4.8971047,1.9002241,3,Nutlin,Nutlin,10.0,3.9478354,4457,A549,lung adenocarcinoma
G10_A01_RT_518,8.141341,0.1760748,0,Nutlin,Nutlin,10.0,12.573556,3653,A549,lung adenocarcinoma
B03_B02_RT_634,7.278192,1.001102,0,Nutlin,Nutlin,10.0,5.9960027,4722,A549,lung adenocarcinoma
H04_B02_RT_686,8.6416,2.1821508,4,Nutlin,Nutlin,10.0,4.191115,4183,A549,lung adenocarcinoma
F12_B02_RT_753,4.9289627,1.189084,3,Nutlin,Nutlin,10.0,7.9340386,3089,A549,lung adenocarcinoma
E10_B02_RT_446,4.9138136,3.3116076,5,Nutlin,Nutlin,50.0,4.6617026,1820,A549,lung adenocarcinoma
D01_B02_RT_490,4.327476,-0.012410398,3,Nutlin,Nutlin,10.0,13.205322,2720,A549,lung adenocarcinoma
H02_B02_RT_511,4.227499,-0.095463045,3,Nutlin,Nutlin,10.0,10.566968,2855,A549,lung adenocarcinoma
G08_A01_RT_707,5.8614426,1.5126898,3,Nutlin,Nutlin,10.0,5.4338765,7253,A549,lung adenocarcinoma
B07_B02_RT_602,5.321599,-0.4367672,3,Nutlin,Nutlin,10.0,7.6257863,4441,A549,lung adenocarcinoma
D12_A01_RT_747,3.197743,0.9051366,3,Nutlin,Nutlin,10.0,9.008228,1375,A549,lung adenocarcinoma
H05_A01_RT_631,4.4720063,3.8298028,5,Nutlin,Nutlin,10.0,9.490085,1197,A549,lung adenocarcinoma
F10_A01_RT_432,5.4118466,1.6124506,3,Nutlin,Nutlin,10.0,7.940935,3028,A549,lung adenocarcinoma
D04_A01_RT_621,5.518245,-0.06820397,3,Nutlin,Nutlin,10.0,4.4367695,3593,A549,lung adenocarcinoma
A12_B02_RT_465,4.1386876,0.8343903,3,Nutlin,Nutlin,10.0,18.914503,3854,A549,lung adenocarcinoma
G06_B02_RT_735,3.4782822,1.546053,3,Nutlin,Nutlin,10.0,15.344892,2450,A549,lung adenocarcinoma
B10_B02_RT_484,1.3668158,7.9679666,1,Nutlin,Nutlin,10.0,5.186533,801,A549,lung adenocarcinoma
E11_A01_RT_384,5.263706,1.5179018,3,Nutlin,Nutlin,50.0,11.433115,2796,A549,lung adenocarcinoma
A08_A01_RT_755,3.259064,-1.8885232,3,Nutlin,Nutlin,10.0,4.8660083,989,A549,lung adenocarcinoma
B06_A01_RT_476,4.2178645,0.07500787,3,Nutlin,Nutlin,10.0,7.9004664,3058,A549,lung adenocarcinoma
D11_B02_RT_498,7.7475243,1.3213145,0,Nutlin,Nutlin,50.0,4.0340695,4671,A549,lung adenocarcinoma
D02_B02_RT_526,3.974188,-0.23006696,3,Nutlin,Nutlin,100.0,9.535033,2483,A549,lung adenocarcinoma
G09_A01_RT_722,-0.9287547,6.557924,1,Nutlin,Nutlin,50.0,7.3239436,780,A549,lung adenocarcinoma
G09_B02_RT_721,7.896391,3.6038377,4,Nutlin,Nutlin,10.0,6.2479043,3874,A549,lung adenocarcinoma
F03_A01_RT_543,4.222916,1.121011,3,Nutlin,Nutlin,10.0,9.063396,2934,A549,lung adenocarcinoma
E08_B02_RT_460,5.2372394,2.2814667,3,Nutlin,Nutlin,10.0,9.213181,3251,A549,lung adenocarcinoma
A08_B02_RT_691,5.766709,0.82699585,3,Nutlin,Nutlin,10.0,11.648501,2767,A549,lung adenocarcinoma
B07_B02_RT_433,1.4521084,8.713568,1,Nutlin,Nutlin,10.0,1.9135365,994,A549,lung adenocarcinoma
F12_B02_RT_558,5.439406,0.92555606,3,Nutlin,Nutlin,10.0,9.42813,3710,A549,lung adenocarcinoma
G03_B02_RT_710,1.5941702,8.374228,1,Nutlin,Nutlin,10.0,7.5498576,1916,A549,lung adenocarcinoma
D03_B02_RT_640,2.7611678,-0.09785327,3,Nutlin,Nutlin,10.0,7.3878627,2245,A549,lung adenocarcinoma
G06_B02_RT_517,6.8815856,0.5471945,0,Nutlin,Nutlin,50.0,3.24951,7022,A549,lung adenocarcinoma
F01_B02_RT_630,4.9477806,1.7266153,3,Nutlin,Nutlin,10.0,8.839687,2875,A549,lung adenocarcinoma
